id,Summary,Status,Type,Owner,Priority,Milestone,Component,Version,Severity,Created,Modified,Parent ID,Points,Reviewer,Reporter,Keywords
15470,"cannot edit the certificates in Tor browser,",reopened,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,26 mar. 2015 12:52:17,28 ene. 2016 18:10:46,,,,dark ghost,"tbb-security, CNNIC"
16926,Multiple OS: Tor Browser leaks domains to system DNS management.,new,defect,tbb-team,Very High,,Applications/Tor Browser,,Major,30 ago. 2015 06:24:08,2 jul. 2017 07:31:48,,,,DrMikeTwiddle,tbb-security
16968,Using ExitNodes with bridges make ExitNodes ignored without warning messages. Comment from other cypherpunks: cant reproduce,new,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,2 sep. 2015 20:47:54,26 oct. 2018 11:00:15,,,,cypherpunks,
18361,Issues with corporate censorship and mass surveillance,assigned,defect,cypherpunks,Very High,,Applications/Tor Browser,,Critical,22 feb. 2016 06:02:28,10 abr. 2019 23:11:52,,1000 light years,,ioerror,
18540,Detect when ACS doesn't work,new,defect,atagar,Very High,,Core Tor/Nyx,,Normal,13 mar. 2016 02:17:36,13 mar. 2016 02:17:36,,,,atagar,curses
19258,Tor - closing unexpectedly,needs_information,defect,tbb-team,Very High,,Applications/Tor Browser,,Critical,4 jun. 2016 03:02:06,6 jun. 2016 05:40:48,,,,illuminarch,
20784,"TBB on OSX: ""Something went wrong...""",needs_information,defect,tbb-team,Very High,,Applications/Tor Browser,,Major,26 nov. 2016 01:20:01,12 ago. 2018 21:16:20,,,,devildevine,
23089,Most of bridges share the same 3 subnets. What if this subnets got blocked? It will be devastating!,new,defect,,Very High,,Circumvention/Pluggable transport,,Normal,2 ago. 2017 10:46:30,6 feb. 2019 22:31:29,,,,cypherpunks,
23771,Certain Trac accounts are vulnerable to social engineering hologram impersonation,new,defect,qbi,Very High,,Internal Services/Service - trac,,Critical,5 oct. 2017 11:35:11,13 oct. 2017 17:14:03,,,,arthuredeIstein,
24214,"""Orbot Apps VPN Mode"" window repeat itself",new,defect,n8fr8,Very High,,Applications/Orbot,,Critical,10 nov. 2017 08:39:47,10 nov. 2017 08:40:19,,,,cypherpunks,
24302,Latest orbot v15.4.1-rc1-multi Android Will not connect to any bridges 60% of the time,new,defect,n8fr8,Very High,,Applications/Orbot,Tor: 0.3.0.7,Critical,15 nov. 2017 20:24:21,24 mar. 2019 05:09:49,,,,zxzx,
24738,Abort trap: 6 after installation Mac OS 10.13.1,needs_information,defect,,Very High,Tor: unspecified,Core Tor/Tor,Tor: unspecified,Normal,24 dic. 2017 18:29:57,10 ene. 2018 15:51:30,,,,lL__,"tor, error, abort, trap"
25834,Use compiler dependent spec files for mingw-w64,needs_revision,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,18 abr. 2018 09:20:21,5 sep. 2018 12:35:58,,,,gk,"tbb-rbm, TorBrowserTeam201809"
25969,SOCKS5 proxy hostname parsing problem,needs_information,defect,tbb-team,Very High,,Applications/Tor Browser,,Major,29 abr. 2018 23:41:17,30 abr. 2018 09:11:03,,,,Elfeater,"broken, proxy, parser"
26181,Apparmor + systemd failures when loading included service files + DisableAllSwap Fix,new,defect,,Very High,Tor: unspecified,Core Tor/Tor,Tor: 0.3.3.6,Normal,23 may. 2018 22:25:52,13 sep. 2018 02:48:33,,,,d3m0nkingx,"apparmor, 035-removed-20180711"
26328,"[EMERG] Tor Hidden Service owner is identified and caught by police, how?",assigned,defect,stephw,Very High,,Webpages/Blog,,Normal,8 jun. 2018 07:18:03,17 nov. 2018 15:57:55,,,,cypherpunks,
26787,Core file left on travis hardened rust builld,needs_information,defect,,Very High,Tor: unspecified,Core Tor/Tor,,Normal,13 jul. 2018 22:40:16,1 mar. 2019 05:02:40,,,,mikeperry,"travis, regression, tor-build, 029-backport, 034-backport, ci, 035-can, 032-unreached-backport, 033-backport-unreached"
28383,HTTPS Everywhere's exceptions persist,new,defect,legind,Very High,,HTTPS Everywhere,,Critical,8 nov. 2018 12:05:02,8 nov. 2018 12:05:02,,,,janbhez,
28825,update to 8.04 causes immediate crash on MacOS 10.14.1,new,defect,,Very High,Tor: unspecified,Core Tor/Tor,,Blocker,11 dic. 2018 23:24:50,15 dic. 2018 09:03:13,,,,gander2001,tbb-crash
28862,cant log in to tor,new,defect,,Very High,,Webpages,,Normal,16 dic. 2018 20:28:07,16 dic. 2018 20:28:07,,,,Fx2345,
29162,Nonfunctional options should be grayed out,assigned,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,23 ene. 2019 19:33:56,31 ene. 2019 21:23:56,,,,Crissy,
29185,8.5a7-build3 Windows .exe files are not reproducibly built,new,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,27 ene. 2019 15:50:31,9 may. 2019 09:03:14,,,,gk,"GeorgKoppen201903, tbb-8.5, TorBrowserTeam201905"
30056,Bridges doesn't work with ExcludeNodes,new,defect,,Very High,,Circumvention/Pluggable transport,,Normal,7 abr. 2019 16:37:15,7 abr. 2019 16:37:15,,,,dECENTRAL,
30287,Tracking users with any asset,new,defect,tbb-team,Very High,,Applications/Tor Browser,,Critical,25 abr. 2019 15:56:09,25 abr. 2019 20:03:42,,,,cyberpunks,
30402,"Expired Certificate and ""Explore Privately""",new,defect,tbb-team,Very High,,Applications/Tor Browser,,Critical,5 may. 2019 12:29:14,6 may. 2019 16:10:40,,,,Crissy2,
30441,Stop BridgeDB from handing out offline bridges,assigned,defect,phw,Very High,,Circumvention/BridgeDB,,Major,8 may. 2019 16:53:50,29 may. 2019 01:06:24,,2,,phw,
30518,Android - Add missing command line options,new,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,15 may. 2019 19:00:20,27 may. 2019 06:46:44,,,,sysrqb,"tbb-8.5-must, tbb-mobile, TorBrowserTeam201905"
30565,roll back to previous version of TBB - saved logins and tabs lost after tor browser bundle upgrade (8.5),needs_information,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,21 may. 2019 21:41:50,29 may. 2019 14:58:24,,,,rollback-question,"tbb-8.5-issues, tbb-regression, TorBrowserTeam201905R"
30600,Restore NoScript control widget icon to the Tor Browser toolbar,reopened,defect,tbb-team,Very High,,Applications/Tor Browser,,Major,24 may. 2019 07:02:15,29 may. 2019 07:15:25,,,,cypherpunks,noscript
30609,Issue Starting Tor Browser On Windows,new,defect,tbb-team,Very High,,Applications/Tor Browser,Tor: 0.4.0.5,Critical,24 may. 2019 21:10:20,24 may. 2019 21:10:20,,,,broman,tor browser error
30624,Disable NoScript's XSS protection to avoid the whole computer freezing,new,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,26 may. 2019 06:27:41,28 may. 2019 06:19:09,,,,gk,"TorBrowserTeam201905, GeorgKoppen201905"
30685,"Unable to use any saved passwords (TorBrowser win64 8.5; & also previous win64 versions, win32 are OK)",new,defect,tbb-team,Very High,,Applications/Tor Browser,,Blocker,29 may. 2019 12:43:09,29 may. 2019 12:43:09,,,,tw64_pass,TorBrowserTeam201905R
975,Torbutton prevents PKCS#12 import/export,assigned,defect,tbb-team,High,,Applications/Tor Browser,,Normal,29 abr. 2009 15:07:32,9 oct. 2016 14:31:33,#2482,,,kurti,
1354,Configuring Tor with --with*dir gives wrong directories,assigned,defect,nickm,High,Tor: unspecified,Core Tor/Tor,0.2.1.25,Normal,13 abr. 2010 10:39:32,24 may. 2017 13:27:06,#6311,,,Sebastian,tor-client build packages autoconf
2424,Android purges firewall rules after network disable/airplane mode.,accepted,defect,n8fr8,High,,Applications/Orbot,,Normal,22 ene. 2011 04:29:28,16 feb. 2016 00:07:16,,,,cypherpunks,
3021,"Make the microdesc format a little more flexible, with optional TAP key",assigned,defect,nickm,High,Tor: unspecified,Core Tor/Tor,,Normal,28 abr. 2011 03:01:19,24 may. 2017 14:20:10,,,,nickm,tor-client prop245 tap-out format migration
3595,Connections with IPv4-mapped IPv6 addresses bypass transproxy,accepted,defect,n8fr8,High,,Applications/Orbot,,Normal,14 jul. 2011 19:04:31,6 dic. 2017 04:50:54,,,,__sporkbomb,
3600,Prevent redirects from transmitting+storing cookies+identifiers,assigned,defect,pospeselr,High,,Applications/Tor Browser,,Major,15 jul. 2011 18:54:59,10 ene. 2019 14:28:33,,,,mikeperry,"tbb-linkability, tbb-testcase, tbb-torbutton, TorBrowserTeam201901"
3667,Toolbar icons non-deterministic?,needs_information,defect,tbb-team,High,,Applications/Tor Browser,,Minor,29 jul. 2011 18:50:33,31 ago. 2017 13:58:38,,,,mikeperry,"tbb-usability, ux-team"
4229,smartlist_len returns a (signed) int,new,defect,,High,Tor: unspecified,Core Tor/Tor,,Normal,14 oct. 2011 18:37:50,25 may. 2017 15:11:18,,10,,rransom,tor-client refactoring c correctness
4320,Audit functions called during options_act_reversible(),new,defect,,High,Tor: unspecified,Core Tor/Tor,,Normal,26 oct. 2011 16:18:45,25 may. 2017 15:24:33,,2,,Sebastian,audit tor-client reliability torrc configuration
4338,TBB creates Mozilla folder in user folder,needs_revision,defect,mikeperry,High,,Applications/Tor Browser,,Normal,28 oct. 2011 14:29:41,6 abr. 2018 02:15:29,,,,cypherpunks,"backport-to-mozilla, tbb-disk-leak"
4580,Some Tor clients go nuts requesting the consensus if there is no recent enough consensus,new,defect,,High,Tor: unspecified,Core Tor/Tor,Tor: unspecified,Major,25 nov. 2011 22:31:15,25 may. 2017 15:55:03,,4.5,,arma,"tor-client, tor-dos zombies deprecation"
5393,orbot relay bug - orbot is not setting the relay values into torrc properly causing orbot to not work when set as relay,accepted,defect,n8fr8,High,,Applications/Orbot,Tor: 0.2.3.10-alpha,Normal,15 mar. 2012 00:55:38,6 dic. 2017 04:50:54,,,,ruki_,
5666,Hook MediaElement for Full Screen Mode,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,24 abr. 2012 18:06:42,17 may. 2017 18:21:48,,,,mikeperry,tbb-fingerprinting-resolution
5798,Improve persistence and WebFont compatibility of font patch,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,7 may. 2012 18:52:52,3 feb. 2016 19:08:33,,,,mikeperry,"tbb-fingerprinting-fonts, interview, tbb-testcase, tbb-firefox-patch"
5816,Unintentional connections by TBB to Google and Yahoo servers,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,9 may. 2012 12:48:00,8 ago. 2016 17:27:02,,,,cypherpunks,
6459,error starting transparent proxy,new,defect,n8fr8,High,,Applications/Orbot,,Normal,24 jul. 2012 08:48:00,6 dic. 2017 04:50:54,,,,odadgari,
6474,Don't prompt for Offline Storage unless disk activity is enabled,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,28 jul. 2012 01:48:40,15 mar. 2017 09:08:46,,,,mikeperry,"tbb-disk-leak, tbb-usability, tbb-pref, tbb-firefox-patch"
6622,Tor link against static zlib broken by -pie switch,new,defect,,High,Tor: unspecified,Core Tor/Tor,Tor: 0.2.3.20-rc,Normal,17 ago. 2012 14:04:58,26 may. 2017 18:24:19,,,,tmpname0901,tor-relay tor-relay autotools build link static
6877,Finally replace all char[] buffers with uint8_t[] buffers,new,defect,,High,Tor: unspecified,Core Tor/Tor,,Normal,17 sep. 2012 13:49:49,29 may. 2017 22:54:55,,10,,nickm,tor-client tor-relay refactoring technical-debt lots-of-work
6939,Missing IPv6 ORPort reachability check,needs_revision,defect,,High,Tor: unspecified,Core Tor/Tor,Tor: 0.2.4.2-alpha,Normal,22 sep. 2012 09:48:27,9 abr. 2018 12:47:54,#24403,,,shamrock,"ipv6, tor-relay, ipv6-relay, self-test, 034-triage-20180328, 034-removed-20180328"
7148,Even better parameter voting protocol,new,defect,,High,Tor: unspecified,Core Tor/Tor,,Normal,19 oct. 2012 05:33:56,27 may. 2017 19:02:40,,,,nickm,"needs-proposal, tor-dirauth security"
7164,"microdesc.c:378: Bug: microdesc_free() called, but md was still referenced 1 node(s); held_by_nodes == 1",needs_revision,defect,nickm,High,Tor: unspecified,Core Tor/Tor,Tor: 0.2.4.19,Normal,20 oct. 2012 19:01:22,12 abr. 2018 09:56:00,,2,asn,jaj123,"tor-client, 025-backport, nickm-should-review, review-group-24, 033-triage-20180320, 033-removed-20180320"
7210,Orbot hides the errors of the iptables rules,new,defect,n8fr8,High,,Applications/Orbot,,Normal,25 oct. 2012 01:20:53,6 dic. 2017 04:50:54,,,,juanfra684,
7449,TorBrowser creates temp files in Linux /tmp & Windows %temp% and OSX(various places) during the file downloads dialog & when using internal browser video player,assigned,defect,tbb-team,High,,Applications/Tor Browser,,Normal,11 nov. 2012 22:46:31,4 oct. 2018 13:56:22,,,,unknown,"tbb-disk-leak, tbb-firefox-patch"
7612,Torbutton update error and real ip address,needs_information,defect,erinn,High,,Applications/Tor Browser,,Normal,2 dic. 2012 11:44:40,6 dic. 2017 04:50:54,,,,Rob,
7638,ip-check.info: the 'window.name' attribute is traceable across sites,reopened,defect,mikeperry,High,,Applications/Tor Browser,,Normal,5 dic. 2012 03:39:52,1 feb. 2016 17:52:11,,,,WDXfjqDN4QKGYrlY,tbb-firefox-patch
7678,Check if a stream could send a cell but the circuit hasn't asked it to,new,defect,,High,Tor: unspecified,Core Tor/Tor,Tor: 0.2.3.25,Normal,8 dic. 2012 22:32:58,29 may. 2017 23:35:01,,4,,arma,tor-relay needs-insight bugproofing protocol
7956,Tor uses Roaming (remote) %APPDATA% instead of %LOCALAPPDATA%,assigned,defect,tbb-team,High,Tor: unspecified,Core Tor/Tor,Tor: unspecified,Normal,15 ene. 2013 00:02:58,6 sep. 2017 08:49:49,,,,cypherpunks,"tor-client, win32, needs-design, AppData, Roaming, Local, Windows, tbb-disk-leak"
8310,Restore arch in torbrowser.version pref,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,22 feb. 2013 23:31:05,6 dic. 2017 04:50:54,,,,mikeperry,needs-triage
8336,"TOR_SOCKS_HOST, TOR_SOCKS_PORT regression",new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,25 feb. 2013 22:24:23,12 sep. 2018 20:13:21,#10160,,,proper,"tbb-rebase-regression, tbb-torbutton"
8387,Unbuilt one-hop circuits sometimes hang around forever,new,defect,nickm,High,Tor: unspecified,Core Tor/Tor,,Normal,2 mar. 2013 20:48:44,28 ene. 2019 14:35:44,,,,mikeperry,"tor-client, 2016-bug-retrospective, needs-insight needs-analysis maybe-logs-would-help"
8500,Warn the user about possible transparent proxying failure,new,defect,n8fr8,High,,Applications/Orbot,,Normal,17 mar. 2013 20:08:59,6 dic. 2017 04:50:54,,,,cri,
8557,Audit and possibly enable safebrowsing,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,21 mar. 2013 21:47:15,26 sep. 2017 12:31:49,,,,mikeperry,"tbb-pref, tbb-firefox-patch"
8560,100% CPU usage in Tor Browser?,reopened,defect,tbb-team,High,,Applications/Tor Browser,,,21 mar. 2013 23:57:07,12 mar. 2019 06:12:49,,,,mikeperry,tbb-firefox-patch
8593,Circuit build timeout not respected?,needs_information,defect,mikeperry,High,Tor: unspecified,Core Tor/Tor,Tor: 0.2.4.9-alpha,Normal,27 mar. 2013 10:22:45,30 may. 2017 23:18:38,,,,karsten,tor-client cbt timeout
8695,GVFS metadata file contains TBB filename (Debian Linux),new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,13 abr. 2013 04:13:41,12 may. 2016 12:48:17,,,,runa,"tbb-disk-leak, needs-triage"
8696,.xsession-errors file contains Tor Browser related warning (Debian Linux),new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,13 abr. 2013 04:17:21,6 dic. 2017 04:50:54,,,,runa,"tbb-disk-leak, needs-triage"
9018,Concerning debug assertions in the font patch,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,4 jun. 2013 19:03:26,6 dic. 2017 04:50:54,,,,mikeperry,tbb-firefox-patch
9336,Odd wyswig schemes without isolation for browserspy.dk,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,26 jul. 2013 11:30:40,25 feb. 2019 06:55:26,,,,mikeperry,"tbb-linkability, tbb-firefox-patch, ff68-esr-will-have"
9461,Tor AppArmor profile prevents flashproxy-client from starting,reopened,defect,weasel,High,,Applications/Tor Browser,,Normal,12 ago. 2013 21:29:36,13 sep. 2018 02:48:33,#5791,,,proper,apparmor
9481,Header value being duplicated,new,defect,pde,High,,HTTPS Everywhere/HTTPS Everywhere: Chrome,,Normal,14 ago. 2013 02:42:30,6 dic. 2017 04:50:54,,,,boushley,
9675,Provide feedback mechanism for clock-skew and other bad problems,assigned,defect,brade,High,,Applications/Tor Launcher,,Normal,5 sep. 2013 09:45:02,22 ago. 2018 20:07:47,,,,lunar,"tbb-3.0, extdev-interview, tbb-helpdesk-frequent, tbb-usability, AffectsTails"
9783,New Identity does not always clear all OCSP/favicon related network activity,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,19 sep. 2013 19:08:22,8 ago. 2016 17:35:38,,,,gk,"tbb-linkability, tbb-newnym, interview, tbb-torbutton"
10066,Incorrect git hash used by makexpi.sh and merge-rulesets.py,reopened,defect,zyan,High,,HTTPS Everywhere/EFF-HTTPS Everywhere,,Normal,31 oct. 2013 22:15:59,4 nov. 2015 10:52:45,,,,mikeperry,
10353,Cookie Protection dialog is empty in FF24,new,defect,,High,,Applications/Tor Browser,,Normal,11 dic. 2013 03:53:16,5 jul. 2018 08:57:33,,,,mikeperry,"ff24-esr, tbb-usability, tbb-helpdesk-frequent, tbb-torbutton, AffectsTails"
10388,"TBB should disable ""New Private Window"" menu option if disk history is disabled",new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,13 dic. 2013 21:19:13,6 dic. 2017 04:50:54,,,,mikeperry,"tbb-usability, tbb-firefox-patch"
10416,Tor won't start on Windows when path contains non-ascii characters,new,defect,,High,Tor: unspecified,Core Tor/Tor,Tor: 0.2.3.25,Normal,16 dic. 2013 16:06:37,8 ene. 2019 10:30:15,#25729,,,iktsuarpok,"tor-client, windows, unicode, win32"
10467,URLs are leaked to third party if they contain typos,new,defect,tbb-team,High,,Applications/Tor Browser,,Major,22 dic. 2013 20:39:11,30 sep. 2018 22:13:31,,,,torar,tbb-firefox-patch
10478,Use prepend_policy or similar in preference to mark_circuit_unusable_for_new_conns,new,defect,,High,Tor: unspecified,Core Tor/Tor,,Normal,23 dic. 2013 23:55:21,5 jun. 2017 14:47:15,#7870,,,nickm,tor-client reliability
10493,History not being deleted in TBB after disabling and enabling Private Browsing Mode,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,26 dic. 2013 18:16:03,8 nov. 2016 09:21:23,#20491,,,mttp,"tbb-torbutton, tbb-newnym"
10756,TowBrowser should zero-out cleared partial downloads or not delete them at all,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,27 ene. 2014 20:45:27,6 dic. 2017 04:50:54,,,,mmxbass,tbb-firefox-patch
10760,Integrate TorButton to TorBrowser core to prevent users from disabling it,needs_revision,defect,tbb-team,High,,Applications/Tor Browser,,Normal,28 ene. 2014 12:55:25,29 may. 2019 17:00:38,#24855,,,Rezonansowy,"AffectsTails, tbb-parity, TorBrowserTeam201905, GeorgKoppen201905, ux-team"
10786,orbot (13.0.4a) on android 4.3 didn't start - asus me302c tablet,new,defect,n8fr8,High,,Applications/Orbot,Tor: unspecified,Normal,31 ene. 2014 18:01:47,6 dic. 2017 04:50:54,,,,wuzi8642,didn't start
10969,Set of guard nodes can act as a linkability fingerprint,reopened,defect,mikeperry,High,Tor: unspecified,Core Tor/Tor,,Normal,20 feb. 2014 13:57:03,18 sep. 2017 23:23:49,,large,,asn,"tor-client, tor-guard, XKEYSCORE, prop259, SponsorU-deferred, QUICKANT"
11095,allow storing passwords in TorBrowser,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,28 feb. 2014 18:38:36,31 jul. 2016 08:59:24,,,,cypherpunks,tbb-torbutton
11222,Inform user if reachable bridges drop below a configurable fraction/number,needs_information,defect,brade,High,,Applications/Tor Launcher,,Normal,17 mar. 2014 03:29:18,5 abr. 2018 15:36:21,#11180,,,mikeperry,tbb-usability
11254,Tor Browser bundle v3.5 fails to clean up cancelled downloads in Temp folder,new,defect,tbb-team,High,,Applications/Tor Browser,,Major,20 mar. 2014 17:11:47,3 feb. 2016 16:20:13,#7449,,,ericlaw,"tbb-disk-leak, tbb-torbutton"
11258,Toggling permissions.memory_only causes crash of Tor Browser,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,21 mar. 2014 08:08:40,6 dic. 2017 04:50:54,,,,gk,"tbb-crash, tbb-firefox-patch"
11663,HTTPS-E v3.5.3 breaks youtube embedding on other sites (FF 29 / Chrome),new,defect,zyan,High,HTTPS-E 3.5,HTTPS Everywhere/EFF-HTTPS Everywhere,,Normal,30 abr. 2014 19:34:01,6 dic. 2017 04:50:54,,,,Ache,httpse-ruleset-bug
11728,Torbirdy shouldn't allow clearnet connections on startup if started in Transparent Torification mode,needs_review,defect,ioerror,High,,Applications/TorBirdy,,Normal,4 may. 2014 18:49:51,6 dic. 2017 04:50:54,,,,mttp,identity-leaks
11743,nodelist_add_microdesc: assign md to all appropriate nodes properly,new,defect,,High,Tor: unspecified,Core Tor/Tor,,Normal,5 may. 2014 10:11:53,21 dic. 2018 01:29:31,,,,cypherpunks,"prop248, tor-client, crash, tor-relay, needs-design, 2016-bug-retrospective"
11868,Craigslist not displaying https Pictures,new,defect,zyan,High,,HTTPS Everywhere/EFF-HTTPS Everywhere,HTTPS-E 3.4.3,Normal,9 may. 2014 22:28:42,6 dic. 2017 04:50:54,,,,RangerXus,
12184,Circuit on detached list which I had no reason to mark,new,defect,,High,Tor: unspecified,Core Tor/Tor,Tor: 0.2.5.10,Normal,2 jun. 2014 19:33:26,7 jun. 2017 16:44:37,,,,cypherpunks,tor-relay needs-insight
12389,Should we warn when exit nodes are using opendns or google dns?,needs_revision,defect,nickm,High,Tor: unspecified,Core Tor/Tor,,Normal,13 jun. 2014 12:46:27,10 may. 2018 22:36:06,,small,,nickm,tor-relay dns configuration libevent-help
12401,Document EntryGuardPathBias in doc/state-contents.txt,assigned,defect,mikeperry,High,Tor: unspecified,Core Tor/Tor,,Normal,15 jun. 2014 16:40:25,27 sep. 2018 02:18:47,,,,asn,"tor-client, tor-guard, tor-docs, pathbias"
12472,HTTPS-Everywhere should not dump URLs to stdout by default,new,defect,zyan,High,,HTTPS Everywhere/EFF-HTTPS Everywhere,,Normal,26 jun. 2014 14:33:02,6 dic. 2017 04:50:54,,,,mikeperry,tbb-disk-leak
12481,Tor Browser crashes on shutdown on Linux and Mac OS X debug builds,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,27 jun. 2014 14:56:38,3 oct. 2018 18:41:14,,,,gk,"tbb-crash, tbb-firefox-patch"
12609,"HTML5 fullscreen API makes TB fingerprintable, disable it!",needs_revision,defect,mikeperry,High,,Applications/Tor Browser,,Normal,13 jul. 2014 09:06:05,18 oct. 2017 12:26:45,,,,cypherpunks,"tbb-fingerprinting-resolution, tbb-linkability"
12683,"Permissions in nsIPermissionManager aren't cleared with TorButton's ""New Identity""",new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,23 jul. 2014 02:08:14,3 sep. 2016 06:18:07,,,,isis,"tbb-linkability, tbb-newnym, tbb-torbutton"
12736,DLL hijacking vulnerability in TBB,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,29 jul. 2014 15:24:23,29 dic. 2016 09:25:09,,,,underdoge,"tbb-security, TorBrowserTeam201608"
12977,Fix Firefox's Full Screen Permissions Prompt,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,28 ago. 2014 00:56:43,12 ene. 2016 13:27:29,,,,mikeperry,tbb-fingerprinting-resolution
13001,HTTPS Everywhere breaks eloconcursos.com.br,new,defect,zyan,High,,HTTPS Everywhere/EFF-HTTPS Everywhere,,Normal,30 ago. 2014 01:24:40,6 dic. 2017 04:50:54,,,,juniorelson4,
13185,Orbot still accesses the public Tor network with bridges configured,new,defect,n8fr8,High,,Applications/Orbot,,Normal,18 sep. 2014 02:57:35,6 dic. 2017 04:50:54,,,,mikeperry,
13400,Canvas Fingerprinting: fonts,needs_information,defect,tbb-team,High,,Applications/Tor Browser,,Normal,13 oct. 2014 18:13:50,9 dic. 2016 09:30:58,,,,cypherpunks,"tbb-testcase, tbb-fingerprinting-fonts"
13543,HTML5 media support may lead to fingerprinting,new,defect,tbb-team,High,,Applications/Tor Browser,,Normal,22 oct. 2014 22:38:12,26 abr. 2019 09:28:24,,,,cypherpunks,tbb-fingerprinting
13817,"Untange kludgey library detection, particularly for SSL forks",new,defect,,High,Tor: unspecified,Core Tor/Tor,Tor: 0.2.6.1-alpha,Normal,22 nov. 2014 14:30:03,9 jun. 2017 15:33:45,#6311,,,teor,tor-build build library-detection
13832,HTTPS Everywhere breaks PayPal checkout process,new,defect,zyan,High,,HTTPS Everywhere/EFF-HTTPS Everywhere,,Normal,24 nov. 2014 17:03:29,6 dic. 2017 04:50:54,,,,jonlef,httpse-ruleset-bug
