id,Summary,Sponsor,Status,Owner,Type,Priority,Milestone,Component,Severity,Resolution,Modified,Actual Points,Parent ID,Points,Reviewer,Reporter,Keywords
20473,Fix Chutney Nodes that don't bootstrap,Sponsor19-can,closed,teor,defect,Medium,,Core Tor/Chutney,Normal,fixed,17 abr. 2019 01:28:54,0.4,#30066,1,,teor,network-team-roadmap-2019-Q1Q2-maybe
21305,Client gets into an unrecoverable connect / close loop,Sponsor19,closed,cohosh,defect,Medium,,Circumvention/Snowflake,Normal,worksforme,11 abr. 2019 13:46:15,,,,,arlolra,
22132,Chutney should avoid waiting for set times: wait for conditions instead,Sponsor19,closed,nickm,defect,Medium,,Core Tor/Chutney,Normal,fixed,19 mar. 2019 05:14:01,1.2,#20647,2,teor,teor,network-team-roadmap-2019-Q1Q2
22775,Implement Hyphae,Sponsor19,closed,,defect,Medium,,Circumvention/BridgeDB,Normal,wontfix,30 ene. 2019 14:24:31,,,,,isis,
22776,Implement the remaining cryptographic protocols for Hyphae,Sponsor19-can,closed,,enhancement,Medium,,Circumvention/BridgeDB,Normal,wontfix,30 ene. 2019 14:23:44,,#22775,21,,isis,"bridgedb-distributors, rust"
22777,Implement a backend HTTP server for Hyphae's credentials,Sponsor19,closed,,task,Medium,,Circumvention/BridgeDB,Normal,wontfix,30 ene. 2019 14:23:32,,#22775,5,,isis,
24367,Changing pluggable transports (during start-up) in Tor Browser is broken,Sponsor19-must,closed,nickm,defect,Medium,Tor: 0.4.1.x-final,Core Tor/Tor,Normal,fixed,6 jun. 2019 08:31:17,,#29875,0.5,ahf,gk,"regression, tor-bridge-client, 033-triage-20180320, 033-removed-20180320, 031-unreached-backport, tbb-needs, 034-parent-backport, 035-parent-backport, 040-parent-backport, 041-should, network-team-roadmap-2019-Q1Q2"
25430,Turkey bridges.torproject.org cant access,Sponsor19,closed,,defect,Medium,,Circumvention/BridgeDB,Normal,fixed,18 mar. 2019 15:05:58,,,5,,fromturkey,censorship block tr
25502,Report intermediate PT bootstrapping status,Sponsor19,closed,ahf,project,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,implemented,24 ene. 2019 20:16:09,,,,,ahf,"040-roadmap-master, tor-pt, postfreeze-ok"
25899,Only run retry_dns() and check_dns_honesty() on exits,Sponsor19,needs_revision,dgoulet,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,,20 feb. 2019 16:05:17,,#25500,,,nickm,"034-roadmap-subtask, 035-removed-20180711, 040-deferred-20190220"
26154,Remove apt-get update from BridgeDB's .travis.yml to avoid SHA1 signature error,Sponsor19,closed,phw,defect,Medium,,Circumvention/BridgeDB,Normal,not a bug,15 abr. 2019 17:38:19,,,.1,,isis,bridgedb-ci ci
26348,Guard against large reads,Sponsor19,closed,cohosh,defect,Medium,,Circumvention/Snowflake,Normal,fixed,28 may. 2019 18:12:38,,,1,,dcf,easy anti-censorship-roadmap-2019
27947,Chutney's owning controller process code compares strings with ints,Sponsor19,closed,teor,defect,Medium,,Core Tor/Chutney,Normal,fixed,30 mar. 2019 02:21:17,0.1,,0.1,nickm,teor,fast-fix
28091,Port GetTor to python3,Sponsor19,closed,traumschule,task,Medium,,Applications/GetTor,Normal,fixed,22 may. 2019 17:52:01,,#28152,,nickm,traumschule,gettor-roadmap
28179,Handle output from PT processes with the event loop,Sponsor19-must,closed,ahf,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,implemented,17 ene. 2019 16:18:09,,#25502,31,nickm,ahf,"tor-pt, 040-roadmap-subtask"
28180,Signal mechanism from PT processes to Tor,Sponsor19,closed,dgoulet,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,implemented,24 ene. 2019 20:15:56,4,#25502,,,ahf,"tor-pt, 040-roadmap-subtask, postfreeze-ok"
28181,spec: Add to pt-spec.txt control messages going back to main process (tor),Sponsor19,closed,dgoulet,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,fixed,8 feb. 2019 13:30:51,,,1,ahf,dgoulet,"tor-spec, tor-pt, 040-roadmap-subtask, postfreeze-ok"
28182,spec: Add to control-spec.txt some pluggable transport events,Sponsor19,closed,dgoulet,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,fixed,17 ene. 2019 17:03:51,,#28180,1,ahf,dgoulet,"tor-spec, tor-pt, 040-roadmap-subtask, postfreeze-ok"
28234,Update GetTor documentation,Sponsor19,closed,traumschule,enhancement,Medium,,Applications/GetTor,Normal,fixed,5 jun. 2019 23:38:42,,#28232,,nickm,traumschule,gettor-roadmap
28281,outline of high-level bootstrap tracker abstractions,Sponsor19,closed,catalyst,task,Medium,Tor: unspecified,Core Tor/Tor,Normal,implemented,29 mar. 2019 20:27:19,2,#28018,0.5,,catalyst,"s8-bootstrap, bootstrap-arch, 040-deferred-20190220"
28848,Document Snowflake broker implementation,Sponsor19,closed,ahf,project,Medium,,Circumvention/Snowflake,Normal,implemented,28 feb. 2019 19:34:38,3,,8,"cohosh, arma",ahf,"snowflake, tor-pt, network-team-roadmap-2019-Q1Q2"
28936,Use Travis CI for goptlib.git repositories on Github,Sponsor19,closed,dcf,enhancement,Medium,Tor: unspecified,Circumvention/Pluggable transport,Minor,wontfix,18 feb. 2019 00:55:58,0.1,,0.1,dcf,ahf,tor-pt goptlib
28940,Add support for LOG to goptlib,Sponsor19,closed,dcf,enhancement,Medium,,Circumvention/Pluggable transport,Normal,implemented,11 abr. 2019 18:34:33,,,0.3,,dcf,goptlib
29024,Add pluggable-transport support to Chutney,Sponsor19,needs_review,nickm,task,Medium,Tor: 0.4.2.x-final,Core Tor/Chutney,Normal,,30 may. 2019 16:49:53,1,,2,,nickm,"tor-pt, 041-accepted-20190115, network-team-roadmap-2019-Q1Q2, tor-ci, 041-deferred-20190530"
29263,prop289: add bidirectional data transfers to chutney,Sponsor19,needs_revision,nickm,enhancement,Medium,,Core Tor/Chutney,Normal,,13 may. 2019 15:57:44,2,,5,,teor,"prop289, network-team-roadmap-2019-Q1Q2"
29273,Document BridgeDB infrastructure,Sponsor19,closed,dgoulet,task,Medium,,Circumvention/BridgeDB,Normal,implemented,8 mar. 2019 17:26:22,0.5,,3,sysrqb,ahf,network-team-roadmap-2019-Q1Q2
29284,Deploy Marionette as a PT,Sponsor19,closed,asn,task,Medium,,Circumvention/Pluggable transport,Normal,duplicate,1 feb. 2019 10:08:37,,,,,cohosh,
29297,Write reachability tests to verify if obfs4 is working or not,Sponsor19,closed,cohosh,task,Medium,,Archived/Obfsproxy,Normal,implemented,9 abr. 2019 04:06:39,,#29279,2,"dcf, ahf",chelseakomlo,"obfs4, network-team-roadmap-2019-Q1Q2"
29481,Cleanup bridgedb.conf and bridgedb.crontab,Sponsor19,closed,sysrqb,task,Medium,,Circumvention/BridgeDB,Normal,implemented,8 mar. 2019 17:26:51,0.2,,0.1,sysrqb,dgoulet,"bridgedb, configuration, network-team-roadmap-2019-Q1Q2"
29483,Use systemd init script for BridgeDB,Sponsor19,closed,dgoulet,task,Medium,,Circumvention/BridgeDB,Normal,fixed,8 mar. 2019 17:14:10,,,0.5,sysrqb,dgoulet,"bridgedb, network-team-roadmap-2019-Q1Q2"
29489,Set up automated local testing environment for Snowflake,Sponsor19,closed,cohosh,task,Medium,,Circumvention/Snowflake,Normal,implemented,7 mar. 2019 18:11:05,3.3,#29259,,,cohosh,network-team-roadmap-2019-Q1Q2
29670,Could not create SOCKS args string,Sponsor19,merge_ready,nickm,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,,5 jun. 2019 13:17:30,.2,,.5,catalyst,cypherpunks,"035-backport, 040-backport, ux, regression?"
29729,Work out which networks to run in Chutney's CI,Sponsor19,merge_ready,teor,enhancement,Medium,,Core Tor/Chutney,Normal,,24 abr. 2019 03:10:19,3,,1,nickm,teor,"chutney-ci, network-team-roadmap-2019-Q1Q2"
29748,Let test-network.sh tolerate some number of failures,Sponsor19,closed,nickm,enhancement,Medium,Tor: 0.4.1.x-final,Core Tor/Chutney,Normal,fixed,13 mar. 2019 02:41:42,.3,#29280,.3,teor,nickm,"CI, PTs 029-backport 034-backport 035-backport 040-backport, network-team-roadmap-2019-Q1Q2"
29761,"Track chutney CI failures, and tweak the allow failures settings",Sponsor19-must,closed,teor,defect,Medium,,Core Tor/Chutney,Normal,fixed,21 mar. 2019 02:36:01,,#29729,1,,teor,"chutney-ci, network-team-roadmap-2019-Q1Q2"
29762,Update the README for new features,Sponsor19,closed,teor,defect,Medium,,Core Tor/Chutney,Normal,fixed,14 mar. 2019 00:45:06,,,0.1,nickm,teor,"fast-fix, network-team-roadmap-2019-Q1Q2"
29875,Going from obfs4 to snowflake using the Tor Network Settings from the Torbutton doesn't work,Sponsor19-must,merge_ready,nickm,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,,5 jun. 2019 13:14:54,.5,,,ahf,cypherpunks,"tbb-needs, 035-backport, 040-backport, network-team-roadmap-2019-Q1Q2, dgoulet-merge"
29876,get_proxy_type() may be wrong when unused PT configured,Sponsor19-can,closed,,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,fixed,5 jun. 2019 17:46:46,,#29670,,,catalyst,"technical-debt, tor-pt, ex-sponsor-19"
29976,rework bootstrap reporting to use pubsub,Sponsor19,merge_ready,catalyst,task,Medium,Tor: 0.4.2.x-final,Core Tor/Tor,Normal,,29 may. 2019 13:51:38,5,,,nickm,catalyst,bootstrap network-team-roadmap-2019-Q1Q2
30006,"Monitor ""aliveness"" of default bridges in Tor Browser",Sponsor19-can,closed,phw,defect,Medium,,Applications/Quality Assurance and Testing,Normal,fixed,19 abr. 2019 20:32:04,,#30152,,,phw,default bridge tbb-bridges
30059,Update chutney's README,Sponsor19,closed,teor,defect,Medium,,Core Tor/Chutney,Normal,fixed,12 abr. 2019 02:43:26,0.2,#29729,0.2,nickm,teor,"doc, chutney-ci, network-team-roadmap-2019-Q1Q2"
30063,"Add unit tests to chutney, and run them in Travis",Sponsor19,closed,teor,enhancement,Medium,,Core Tor/Chutney,Normal,fixed,12 abr. 2019 02:44:02,0.2,#29729,0.2,nickm,teor,"chutney-ci, network-team-roadmap-2019-Q1Q2"
30064,Chutney often fails because Tor hasn't bootstrapped yet,Sponsor19,closed,teor,defect,Medium,,Core Tor/Chutney,Normal,fixed,17 abr. 2019 01:37:00,0.3,#29729,0.5,nickm,teor,"chutney-ci, network-team-roadmap-2019-Q1Q2"
30065,Add shellcheck tests to chutney,Sponsor19,closed,teor,enhancement,Medium,,Core Tor/Chutney,Normal,fixed,12 abr. 2019 02:44:36,0.2,#29729,0.2,nickm,teor,"chutney-ci, network-team-roadmap-2019-Q1Q2"
30125,"Port server's log sanitization to client, broker, and proxy-go",Sponsor19,closed,cohosh,enhancement,Medium,,Circumvention/Snowflake,Normal,implemented,18 abr. 2019 17:40:36,,,,,dcf,
30224,Add the tor versions for bridge-distribution-request,Sponsor19-can,closed,teor,defect,Medium,Tor: 0.4.1.x-final,Core Tor/Tor,Normal,implemented,26 abr. 2019 00:13:05,0.2,,0.1,catalyst,teor,"tor-spec, fast-fix"
30258,Snowflake proxy stops working during browsing session,Sponsor19,closed,cohosh,defect,Medium,,Circumvention/Snowflake,Normal,duplicate,10 may. 2019 21:28:22,,,,,cohosh,snowflake
30331,obfs4_bridgeline.txt file should contain complete bridge line,Sponsor19,closed,,defect,Medium,,Circumvention/Pluggable transport,Normal,duplicate,10 may. 2019 19:00:18,,,,,cohosh,"obfs4, bridge, anticensorship-roadmap-can"
30459,Let chutney tell Tor whether a network is supported,Sponsor19,needs_review,nickm,defect,Medium,Tor: 0.4.2.x-final,Core Tor/Chutney,Normal,,30 may. 2019 16:49:53,1,#29024,,,nickm,"tor-pt, 041-accepted-20190115, network-team-roadmap-2019-Q1Q2, tor-ci, 041-deferred-20190530"
12806,Create Debian package for BridgeDB,Sponsor19,closed,,task,Low,,Circumvention/BridgeDB,Normal,wontfix,12 feb. 2019 17:17:02,,,2,,isis,"bridgedb, debian-packaging"
29278,Assess HTTP proxy,Sponsor19,closed,phw,task,Low,,Circumvention/Pluggable transport,Normal,fixed,29 may. 2019 23:01:53,1,,2,,cohosh,anti-censorship-roadmap
30058,Chutney bootstrap-network script uses the wrong network flavour,Sponsor19,closed,teor,defect,Low,,Core Tor/Chutney,Normal,fixed,12 abr. 2019 02:54:04,0.1,#29729,0.1,nickm,opara,"fast-fix, chutney-ci, network-team-roadmap-2019-Q1Q2"
30279,"Test IPv6-only v3 onion services in Chutney's CI, once tor master supports them",Sponsor19-can,needs_review,teor,enhancement,Low,Tor: 0.4.2.x-final,Core Tor/Chutney,Normal,,30 may. 2019 16:49:53,0.1,#29729,0.1,,teor,"tor-hs, ipv6, single-onion, fast-fix, chutney-ci, network-team-roadmap-2019-Q1Q2, 041-deferred-20190530"
30008,Remove unused FIFO copy paste code from snowflake client,Sponsor19,closed,,defect,Very Low,,Circumvention/Snowflake,Normal,fixed,8 may. 2019 15:32:42,,,,,cohosh,snowflake
