id,Summary,Status,Owner,Type,Priority,Milestone,Component,Version,Severity,Resolution,Created,Modified,Actual Points,Parent ID,Points,Reviewer,Reporter,Keywords
28803,Integrate building pluggable transports for Android into tor-browser-build,needs_revision,tbb-team,task,High,,Applications/Tor Browser,,Normal,,10 dic. 2018 15:04:21,11 jun. 2019 07:04:21,,,,,gk,"tbb-rbm, tbb-mobile, TBA-a3, tor-pt, tbb-parity, TorBrowserTeam201906"
28804,Add circuit padding to padding-spec.txt and write a doc for researchers,assigned,mikeperry,defect,High,Tor: unspecified,Core Tor/Tor,,Normal,,10 dic. 2018 15:13:53,5 jun. 2019 23:41:03,,,2,,asn,"wtf-pad, tor-relay, tor-cell, padding, tor-spec, 041-proposed, network-team-roadmap-2019-Q1Q2"
28849,Handle dormant mode in process library and for PT's,needs_review,,enhancement,High,Tor: 0.4.2.x-final,Core Tor/Tor,Tor: unspecified,Normal,,14 dic. 2018 03:16:08,13 jun. 2019 18:59:15,2.5,,3,dcf,ahf,"042-proposed, network-team-roadmap-2019-Q1Q2"
28966,HSv3 client auth insufficiently documented (was: HiddenServiceAuthorizeClient incompatible),assigned,asn,defect,High,Tor: 0.4.2.x-final,Core Tor/Tor,Tor: 0.3.5.6-rc,Minor,,31 dic. 2018 08:14:55,3 jun. 2019 14:10:45,,#14389,0.5,,roo,"tor-hs, client-auth, hsv3, postfreeze-ok, network-team-roadmap-2019-Q1Q2"
28970,tor_bug_occurred_(): Bug: ../src/or/hs_client.c:624: setup_intro_circ_auth_key: Non-fatal assertion,new,,defect,High,Tor: 0.4.2.x-final,Core Tor/Tor,Tor: 0.3.4.9,Critical,,1 ene. 2019 19:30:59,7 jun. 2019 13:40:07,,#29995,5,,torcrash,"tor-client, tor-hs, postfreeze-ok, 040-unreached-must, network-team-roadmap-2019-Q1Q2, regression?, 041-unreached-must"
29034,circuit: Cleanup an HS circuit when it is being re-purposed,merge_ready,mikeperry,defect,High,Tor: 0.4.0.x-final,Core Tor/Tor,Tor: 0.3.2.1-alpha,Normal,,9 ene. 2019 19:12:46,11 jun. 2019 12:36:56,,,3,asn,dgoulet,"tor-hs-reachability, 029-backport-maybe, 034-backport-maybe, 035-backport, 040-backport, postfreeze-ok, network-team-roadmap-2019-Q1Q2"
29098,Load balance properly in the presence of padding overhead,new,,enhancement,High,Tor: unspecified,Core Tor/Tor,,Normal,,15 ene. 2019 23:24:19,5 jun. 2019 23:45:58,,#8453,13,,mikeperry,"wtf-pad, tor-dirauth, network-team-roadmap-2019-Q1Q2"
29285,Improve the PT spec and how PTs interface with Tor,assigned,phw,project,High,,Circumvention/Pluggable transport,,Normal,,1 feb. 2019 10:10:39,14 jun. 2019 23:55:26,,,15,,cohosh,"network-team-roadmap-2019-Q1Q2, anti-censorship-roadmap"
29293,New Design for client -- broker protocol for Snowflake,new,,task,High,,Circumvention/Snowflake,,Normal,,1 feb. 2019 12:00:00,5 jun. 2019 20:46:19,,,,,cohosh,"snowflake, bridges, broker, ex-sponsor-19"
29494,Optimize interaction between circuitmux and circuitpadding,needs_revision,mikeperry,enhancement,High,Tor: unspecified,Core Tor/Tor,,Normal,,13 feb. 2019 20:45:31,9 may. 2019 18:11:48,,,5,,mikeperry,"wtf-pad, network-team-roadmap-2019-Q1Q2 042-proposed"
29500,Broken circuitpadding unittests on appveyor,closed,mikeperry,defect,High,Tor: 0.4.0.x-final,Core Tor/Tor,Tor: 0.4.0.1-alpha,Normal,fixed,14 feb. 2019 09:45:02,6 jun. 2019 08:38:09,3.5,,3,"nickm, asn, teor",asn,"asn-merge, nickm-merge, wtf-pad, tor-relay, tor-cell, padding, 040-must, 040-backport"
29527,Division by zero: undefined behaviour in circuitpadding/circuitpadding_sample_distribution test,closed,teor,defect,High,Tor: 0.4.0.x-final,Core Tor/Tor,,Normal,fixed,19 feb. 2019 07:38:46,3 abr. 2019 14:57:53,,,,nickm,teor,"was-merged-to-041-after-29298, nickm-merge, teor-merge, regression, tor-ci, tor-test, 040-must, 040-backport, asn-merge"
29583,HSv3: Faulty cross-certs in introduction point keys (allows naive onionbalance for v3s),new,,defect,High,Tor: 0.4.2.x-final,Core Tor/Tor,,Normal,,25 feb. 2019 17:25:58,30 may. 2019 16:49:53,,#26768,4,,asn,"tor-hs, scaling, onionbalance, 040-backport, 035-backport, needs-proposal, network-team-roadmap-2019-Q1Q2, security, 041-longterm, 041-deferred-20190530"
29693,Decrease probability of stochastic failures in test-slow,closed,asn,defect,High,Tor: 0.4.0.x-final,Core Tor/Tor,Tor: 0.4.0.1-alpha,Normal,fixed,8 mar. 2019 09:33:55,22 mar. 2019 15:18:57,0.5,,0.5,teor,teor,"nickm-merge, tor-ci, tor-test, 040-must, 040-backport"
30454,hs-v3: INTRODUCE1 trunnel code doensn't handle HS_INTRO_ACK_STATUS_CANT_RELAY,assigned,,defect,High,Tor: 0.3.5.x-final,Core Tor/Tor,Tor: 0.3.0.1-alpha,Normal,,9 may. 2019 16:35:31,14 jun. 2019 19:02:19,,,1,asn,dgoulet,"tor-hs, 035-backport, 040-backport, nickm-merge, network-team-roadmap-2019-Q1Q2, 0411-alpha"
30599,Cloudflare alt-svc onions cause a different exit to be used at each request,new,tbb-team,defect,High,,Applications/Tor Browser,,Normal,,24 may. 2019 07:00:33,4 jun. 2019 15:22:32,,#30024,,,cypherpunks2,ux-team
30707,Revise our pluggable transport specification,closed,phw,enhancement,High,,Circumvention/Pluggable transport,,Normal,duplicate,30 may. 2019 22:01:36,5 jun. 2019 18:12:43,,,10,,phw,sponsor28
30716,Improve the obfs4 obfuscation protocol,assigned,phw,task,High,,Circumvention/Obfs4,,Normal,,31 may. 2019 22:45:40,7 jun. 2019 06:27:10,,,20,,phw,"sponsor28, anti-censorship-roadmap"
30720,Use test-network.sh for the examples in Chutney's README,assigned,teor,defect,High,,Core Tor/Chutney,,Major,,2 jun. 2019 05:43:17,17 jun. 2019 13:17:11,,#29267,,,teor,"doc, easy"
3733,Tor should abandon rendezvous circuits that cause a client request to time out,assigned,,defect,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,14 ago. 2011 13:31:07,14 jun. 2019 19:02:19,,#30200,5,,rransom,"tor-hs, prop224, tor-client, 034-triage-20180328, 034-removed-20180328"
5304,Obfsproxy should respect OutboundBindAddress in torrc,merge_ready,,defect,Medium,,Circumvention/Obfs4,,Normal,,4 mar. 2012 08:07:01,13 jun. 2019 18:43:09,0.25,#30471,1,phw,korobkov,"needs-spec-change needs-tor-change, anti-censorship-roadmap"
6418,Drop support for older versions of the hidden service protocol,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,19 jul. 2012 14:23:27,16 abr. 2019 16:22:59,,,4,,nickm,tor-hs technical-debt deprecation
7028,Implement Adaptive Padding or some variant and measure overhead vs accuracy,closed,,project,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,,Normal,implemented,3 oct. 2012 04:46:07,28 ene. 2019 15:10:51,,#7027,20,,mikeperry,"SponsorZ, research-needed, tor-relay, mike-can term-project research-program traffic-analysis"
13739,Optimize the functions called in circuit_launch_by_extend_info(),closed,,defect,Medium,Tor: unspecified,Core Tor/Tor,,Normal,duplicate,12 nov. 2014 14:34:40,25 abr. 2019 18:46:00,,#30221,3,,dgoulet,"tor-hs, performance, profile, optimization"
14389,little-t-tor: Provide support for better TBB UI of hidden service client authorization,needs_revision,tbb-team,defect,Medium,Tor: 0.4.2.x-final,Core Tor/Tor,,Normal,,26 ene. 2015 21:10:01,16 may. 2019 00:26:15,,#30000,24,,asn,"tor-hs, tbb-usability, ux-team, hs-auth, network-team-roadmap-2019-Q1Q2"
15463,Tor deals poorly with a very large number of incoming connection requests.,closed,yawning,defect,Medium,Tor: unspecified,Core Tor/Tor,Tor: 0.2.5.11,Normal,duplicate,26 mar. 2015 03:11:18,17 abr. 2019 15:30:21,,,15,,alberto,"tor-hs, performance, tor-dos"
15516,Consider rate-limiting INTRODUCE2 cells when under load,accepted,dgoulet,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,30 mar. 2015 20:39:48,14 jun. 2019 19:22:39,,#29999,10,asn,special,"SponsorU-deferred, tor-dos, tor-hs, network-team-roadmap-2019-Q1Q2"
16059,"Add a ""rendezvous approver"" control API",new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,16 may. 2015 21:27:23,17 abr. 2019 15:27:45,,,17,,special,"tor-hs, tor-control, needs-proposal, term-project-ideas tor-dos"
16387,Improve reachability of hidden services on mobile phones,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,16 jun. 2015 12:17:38,2 abr. 2019 13:55:15,,,10,,asn,"tor-hs, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328"
17254,Scalable HSes by splitting intro/rendezvous,needs_revision,TvdW,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,6 oct. 2015 17:56:04,17 abr. 2019 15:34:41,,,6,,TvdW,tor-hs multicore scaling tor-dos
17640,Handle CREATE/CREATED cell processing gracefully under load.,assigned,yawning,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,19 nov. 2015 12:50:24,2 abr. 2019 13:56:23,,,6,,yawning,"tor-hs, scaling, tor-dos, tor-relay"
18098,prop224: Implement tor-genkey tool for offline HS key creation,needs_revision,haxxpop,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,19 ene. 2016 09:31:16,3 may. 2019 13:00:50,,,6,,dgoulet,"tor-hs, 040-deferred-20190220"
18696,".onion names contain their own validator, we should use that",new,tbb-team,enhancement,Medium,,Applications/Tor Browser,,Normal,,31 mar. 2016 19:54:29,2 abr. 2019 12:48:40,,,,,huseby,
19757,Make a menu to add onion and auth-cookie to TB,new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,26 jul. 2016 19:54:47,4 abr. 2019 17:00:28,,#30000,,,mrphs,"ux-team, tbb-usability, tor-hs"
19950,Replace Tor Project bookmarks in TBB to their onion service equivalent,new,tbb-team,enhancement,Medium,,Applications/Tor Browser,,Normal,,20 ago. 2016 21:53:29,2 abr. 2019 09:01:39,,,,,cypherpunks,
20371,Lower HSDir query backoff delay,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,15 oct. 2016 21:36:50,2 abr. 2019 14:01:04,,#23300,2,,twim,"tor-hs, research, prop224, reachability"
21315,publish some realtime stats from the broker?,needs_review,cohosh,enhancement,Medium,,Circumvention/Snowflake,,Normal,,25 ene. 2017 10:37:56,15 jun. 2019 02:02:22,,#29461,,irl,arma,anti-censorship-roadmap
21621,Intro points can get stuck in CIRCUIT_PURPOSE_S_ESTABLISH_INTRO,new,,defect,Medium,Tor: unspecified,Core Tor/Tor,Tor: 0.2.7.2-alpha,Normal,,3 mar. 2017 00:48:37,2 abr. 2019 13:59:20,,#25882,3,dgoulet,teor,"tor-hs, teor-was-assigned, 034-triage-20180328, 034-removed-20180328"
21728,"Features that are made ""HTTPS-only"" should be available on .onion sites as well",new,tbb-team,enhancement,Medium,,Applications/Tor Browser,,Normal,,13 mar. 2017 15:56:20,2 abr. 2019 09:02:47,,,,,gk,
21952,.Onion everywhere?: increasing the use of onion services through automatic redirects and aliasing,assigned,tbb-team,project,Medium,,Applications/Tor Browser,,Normal,,14 abr. 2017 21:43:34,10 jun. 2019 09:51:19,,#30024,,,linda,"ux-team, tor-hs"
22212,[warn] channelpadding_compute_time_until_pad_for_netflow(): Bug: Channel padding timeout scheduled 164729ms in the past. Did the monotonic clock just jump?,closed,arma,defect,Medium,Tor: 0.3.2.x-final,Core Tor/Tor,Tor: 0.3.1.1-alpha,Normal,fixed,10 may. 2017 06:56:40,15 nov. 2018 01:40:00,,,,mikeperry,arma,"tor-client, 031-unreached-backport, 032-unreached-backport"
23493,IPv6 v3 Onion Services support,new,,defect,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,13 sep. 2017 02:33:50,26 abr. 2019 21:34:52,0.7,#29995,7,,teor,"v3-onion-service-feature-parity-can, prop224, tor-hs, single-onion, ipv6, 034-triage-20180328, 034-removed-20180328, network-team-roadmap-2019-Q1Q2"
23545,UX improvement: Tor Browser should handle bogus HSv3 addresses,new,tbb-team,defect,Medium,Tor: unspecified,Applications/Tor Browser,,Normal,,16 sep. 2017 14:25:01,15 abr. 2019 00:48:05,,#30022,network-team: 5-10,,asn,"tor-hs, prop224, ux-team, 034-triage-20180328, 034-removed-20180328"
23790,rend_service_prune_list_impl_() doesn't copy over desc_is_dirty when copying intro points,closed,dgoulet,defect,Medium,Tor: 0.2.9.x-final,Core Tor/Tor,Tor: unspecified,Normal,fixed,9 oct. 2017 00:27:17,19 abr. 2019 02:03:47,0.1,,0.1,asn,jl,"029-backport, 031-unreached-backport, consider-backport-after-0404"
23875,"Facebook's onion site is a single hop onion, but clicking on the Tor onion icon shows that it is a 6 hop circuit.",new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,15 oct. 2017 20:56:06,8 abr. 2019 12:45:32,,,,,Dbryrtfbcbhgf,"tbb-circuit-display, ux-team"
23888,Creating a Snowflake WebExtension addon,assigned,arlolra,enhancement,Medium,,Circumvention/Snowflake,,Normal,,16 oct. 2017 21:27:11,14 jun. 2019 21:32:41,,,,,oarel,"ux-team, tor-pt, ex-sponsor-19,anti-censorship-roadmap"
24962,Single hop onion service denial of service issues,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,22 ene. 2018 20:20:17,26 abr. 2019 21:35:38,,#29999,3,,dgoulet,"tor2web, tor-hs, tor-dos, 034-triage-20180328, 034-removed-20180328, network-team-roadmap-2019-Q1Q2"
24973,Tor should be more gentle when launching dozens of circuits at once,needs_information,,defect,Medium,Tor: unspecified,Core Tor/Tor,Tor: unspecified,Normal,,23 ene. 2018 09:02:36,26 abr. 2019 21:35:38,,#29999,16,,asn,"tor-dos, tor-hs, performance, 034-triage-20180328, 034-removed-20180502, network-team-roadmap-2019-Q1Q2"
25066,Rendezvous points should return signed proof of the established rend point,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,29 ene. 2018 10:22:34,27 abr. 2019 11:04:44,,#15516,15,,arma,"needs-proposal, 034-triage-20180328, 034-removed-20180328"
25429,Need something better than client's `checkForStaleness`,assigned,cohosh,defect,Medium,,Circumvention/Snowflake,,Normal,,6 mar. 2018 00:17:02,13 jun. 2019 18:48:52,,,,,arlolra,"ex-sponsor-19, anti-censorship-roadmap"
25501,Ensure WTF-Pad padding comes from the expected hop,closed,mikeperry,task,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,,Normal,implemented,14 mar. 2018 12:47:23,28 ene. 2019 14:42:09,0.5,,3,,dgoulet,"control-flow, tor-circuit, 035-roadmap-master, 035-triaged-in-20180711"
25593,Broker needs better resilience against DoS,new,,defect,Medium,,Circumvention/Snowflake,,Normal,,22 mar. 2018 17:51:44,5 jun. 2019 20:50:44,,,,,arlolra,ex-sponsor-19
25595,Test suite for Snowflake on various NAT topologies,new,,defect,Medium,,Circumvention/Snowflake,,Normal,,22 mar. 2018 17:55:48,13 jun. 2019 18:39:52,,,,,arlolra,anti-censorship-roadmap
25601,Multiplex - one snowflake proxy should be able to support multiple clients,new,,defect,Medium,,Circumvention/Snowflake,,Normal,,22 mar. 2018 18:18:45,5 jun. 2019 20:50:44,,,,,arlolra,"snowflake, tor-pt, ex-sponsor-19"
25681,Defend against flooding of the broker by low bandwidth snowflakes,new,,defect,Medium,,Circumvention/Snowflake,,Normal,,30 mar. 2018 14:50:40,13 jun. 2019 18:39:52,,,2,,cypherpunks,anti-censorship-roadmap
25872,When Clicking more information when visiting a V3 onion some of the buttons are cut off,new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,20 abr. 2018 20:28:44,2 abr. 2019 09:04:19,,,,,Dbryrtfbcbhgf,
26176,"Display .onion services with ""mixed"" content in circuit display properly",new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,23 may. 2018 07:19:42,8 abr. 2019 12:45:32,,,,,gk,"tbb-torbutton, tbb-circuit-display"
26294,attacker can force intro point rotation by ddos,assigned,asn,defect,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,3 jun. 2018 18:37:38,15 jun. 2019 13:38:05,,#29999,7,,arma,"tor-hs, tor-dos, network-team-roadmap-2019-Q1Q2"
26322,Circuit display - UI bug - Long v3 name,new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,6 jun. 2018 19:09:09,8 abr. 2019 12:45:32,,,,,antonela,"tbb-torbutton, tbb-circuit-display"
26491,Onion+cert UI text is black with Tor Browser 8.0a9 - it should be green,new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,25 jun. 2018 11:48:01,8 abr. 2019 09:33:05,,#30025,,,cypherpunks,"ff60-esr, ux-team"
26625,"""Not Secure"" text not shown with Onion+http iframe normal site with all security.insecure_connection_* options enabled",closed,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,duplicate,3 jul. 2018 12:24:30,2 abr. 2019 08:41:47,,,,,cypherpunks,ff60-esr
26632,Updated version of the WTF-pad proposal,closed,,project,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,,Normal,implemented,3 jul. 2018 18:05:59,2 ene. 2019 20:23:30,4,,4,,nickm,"035-roadmap-master, 035-triaged-in-20180711"
26633,Solve histogram issues for WTF-Pad,closed,,task,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,,Normal,fixed,3 jul. 2018 18:08:20,2 ene. 2019 20:22:21,10,#28632,15,,nickm,"035-roadmap-master, 035-triaged-in-20180711"
26634,Enumerate unresolved issues that will need to be solved for a WTF-pad deployment,closed,,task,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,,Normal,fixed,3 jul. 2018 18:09:41,2 ene. 2019 20:19:36,2,,2,,nickm,"035-roadmap-master, 035-triaged-in-20180711"
26768,Support onionbalance in HSv3,new,,defect,Medium,Tor: unspecified,Core Tor/Tor,,Normal,,12 jul. 2018 13:24:08,26 abr. 2019 21:36:18,,#29998,20,,asn,tor-hs scaling onionbalance  	network-team-roadmap-2019-Q1Q2
26920,Deploy Marionette as a Pluggable Transport,new,tbb-team,enhancement,Medium,,Applications/Tor Browser,,Normal,,24 jul. 2018 15:37:56,5 jun. 2019 20:50:44,,,,,Marionette,"Marionette, tor-pt, ex-sponsor-19"
26923,Intent to create Pluggable Transport: HTTPS proxy,new,,project,Medium,,Circumvention/Pluggable transport,,Normal,,24 jul. 2018 19:49:12,5 jun. 2019 20:50:44,,,30,,sf,"pt, httpsproxy, anti-censorship-roadmap"
26931,Wrong service-side HSv3 hash ring for HSv3 once a day (low impact),closed,,defect,Medium,Tor: 0.3.5.x-final,Core Tor/Tor,,Normal,not a bug,25 jul. 2018 07:00:45,16 abr. 2019 16:30:22,,,,,asn,tor-hs hsv3 reachability
27313,Help NoScript marking HTTP .onions as secure,new,tbb-team,enhancement,Medium,,Applications/Tor Browser,,Normal,,25 ago. 2018 16:29:13,8 abr. 2019 09:30:03,,#21728,,,gk,
27395,Refactor the .onion related logic in nsMixedContentBlocker.cpp,new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,30 ago. 2018 21:26:46,2 abr. 2019 09:06:09,,,,,gk,
27502,Prioritize .onion hosts in AltSvc?,new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,6 sep. 2018 04:33:09,27 may. 2019 00:55:34,,#30024,,,arthuredelstein,
27590,Display .onion alt-svc route in the circuit display,new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,9 sep. 2018 09:12:08,2 jun. 2019 20:28:27,,#30024,,,mahrud,"tbb-circuit-display, ux-team"
27636,.onion indicator for non-self-signed but non-trusted sites,new,tbb-team,defect,Medium,,Applications/Tor Browser,,Normal,,11 sep. 2018 12:17:12,4 abr. 2019 17:34:06,,#30025,,,o--,ux-team
27657,Show .onion icon on Identity drop down?,new,tbb-team,enhancement,Medium,,Applications/Tor Browser,,Normal,,12 sep. 2018 12:14:57,8 abr. 2019 12:45:32,,#30025,,,gk,ux-team
27680,Explain how to use auth cookie for onion services,closed,traumschule,enhancement,Medium,Tor: 0.4.1.x-final,Core Tor/Tor,,Normal,fixed,13 sep. 2018 01:52:46,18 abr. 2019 10:40:02,,#30000,,asn,traumschule,hs-auth
27841,"Surprise race: Intro point closes circuit after NACK, at the same time as client tries to extend circuit to new intro point",closed,neel,defect,Medium,Tor: 0.3.5.x-final,Core Tor/Tor,,Normal,fixed,24 sep. 2018 15:33:56,18 mar. 2019 15:08:53,,,,dgoulet,asn,tor-hs dos
